concentration,petri_dish,colony,ant_ID,survival,censor
5,P3,C1,8,12,0
5,P3,C1,9,12,0
5,P3,C1,10,12,0
5,P3,C1,11,12,0
5,P3,C1,12,12,0
5,P3,C1,13,12,0
5,P3,C1,14,12,0
5,P3,C1,15,12,0
5,P3,C1,16,12,0
5,P3,C1,17,12,0
5,P3,C1,18,12,0
5,P3,C1,19,12,0
5,P3,C1,20,12,0
5,P3,C1,21,12,0
5,P3,C1,22,12,0
5,P3,C1,23,12,0
5,P3,C1,24,12,0
5,P3,C1,25,12,0
5,P3,C1,26,12,0
5,P3,C1,27,12,0
5,P3,C1,28,12,0
5,P3,C1,29,12,0
5,P3,C1,30,12,0
5,P3,C1,31,12,0
5,P3,C1,32,12,0
5,P3,C1,33,12,0
5,P3,C1,34,12,0
5,P3,C1,35,12,0
5,P3,C1,36,12,0
5,P3,C1,37,12,0
5,P3,C1,38,12,0
5,P3,C1,39,1,1
5,P3,C1,40,1,1
50,P4,C1,1,12,0
50,P4,C1,2,12,0
50,P4,C1,3,12,0
50,P4,C1,4,12,0
50,P4,C1,5,12,0
50,P4,C1,6,12,0
50,P4,C1,7,12,0
50,P4,C1,8,12,0
50,P4,C1,9,12,0
50,P4,C1,10,12,0
50,P4,C1,11,12,0
50,P4,C1,12,12,0
50,P4,C1,13,12,0
50,P4,C1,14,12,0
50,P4,C1,15,12,0
50,P4,C1,16,12,0
50,P4,C1,17,12,0
50,P4,C1,18,12,0
50,P4,C1,19,12,0
50,P4,C1,20,12,0
50,P4,C1,21,12,0
50,P4,C1,22,12,0
50,P4,C1,23,12,0
50,P4,C1,24,12,0
50,P4,C1,25,12,0
50,P4,C1,26,12,0
50,P4,C1,27,12,0
50,P4,C1,28,12,0
50,P4,C1,29,12,0
50,P4,C1,30,12,0
50,P4,C1,31,12,0
50,P4,C1,32,12,0
50,P4,C1,33,12,0
50,P4,C1,34,1,1
50,P4,C1,35,5,1
50,P4,C1,36,6,1
50,P4,C1,37,7,1
50,P4,C1,38,7,1
50,P4,C1,39,8,1
50,P4,C1,40,9,1
0,P5,C2,1,12,0
0,P5,C2,2,12,0
0,P5,C2,3,12,0
0,P5,C2,4,12,0
0,P5,C2,5,12,0
0,P5,C2,6,12,0
0,P5,C2,7,12,0
0,P5,C2,8,12,0
0,P5,C2,9,12,0
0,P5,C2,10,12,0
0,P5,C2,11,12,0
0,P5,C2,12,12,0
0,P5,C2,13,12,0
0,P5,C2,14,12,0
0,P5,C2,15,12,0
0,P5,C2,16,12,0
0,P5,C2,17,12,0
0,P5,C2,18,12,0
0,P5,C2,19,12,0
0,P5,C2,20,12,0
0,P5,C2,21,12,0
0,P5,C2,22,12,0
0,P5,C2,23,12,0
0,P5,C2,24,1,1
0,P6,C2,1,12,0
0,P6,C2,2,12,0
0,P6,C2,3,12,0
0,P6,C2,4,12,0
0,P6,C2,5,12,0
0,P6,C2,6,12,0
0,P6,C2,7,12,0
0,P6,C2,8,12,0
0,P6,C2,9,12,0
0,P6,C2,10,12,0
0,P6,C2,11,12,0
0,P6,C2,12,12,0
0,P6,C2,13,12,0
0,P6,C2,14,12,0
0,P6,C2,15,12,0
0,P6,C2,16,12,0
0,P6,C2,17,12,0
0,P6,C2,18,12,0
0,P6,C2,19,12,0
0,P6,C2,20,12,0
0,P6,C2,21,12,0
0,P6,C2,22,12,0
0,P6,C2,23,12,0
0,P6,C2,24,12,0
0,P6,C2,25,12,0
0,P6,C2,26,12,0
0,P6,C2,27,12,0
0,P6,C2,28,12,0
0,P6,C2,29,12,0
0,P6,C2,30,12,0
0,P6,C2,31,12,0
0,P6,C2,32,12,0
0,P6,C2,33,12,0
0,P6,C2,34,12,0
0,P6,C2,35,12,0
0,P6,C2,36,12,0
0,P6,C2,37,12,0
0,P6,C2,38,12,0
0,P6,C2,39,12,0
0,P6,C2,40,12,0
5,P7,C2,1,12,0
5,P7,C2,2,12,0
5,P7,C2,3,12,0
5,P7,C2,4,12,0
5,P7,C2,5,12,0
5,P7,C2,6,12,0
5,P7,C2,7,12,0
5,P7,C2,8,12,0
5,P7,C2,9,12,0
5,P7,C2,10,12,0
5,P7,C2,11,12,0
5,P7,C2,12,12,0
5,P7,C2,13,12,0
5,P7,C2,14,12,0
5,P7,C2,15,12,0
5,P7,C2,16,12,0
5,P7,C2,17,12,0
5,P7,C2,18,12,0
5,P7,C2,19,12,0
